Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A14006_001,SE_A10060_001,SE_A10060_002,SE_A10060_003
47157020642,14000US47157020642,"Census Tract 206.42, Shelby County, Tennessee","Census Tract 206.42, Shelby County, Tennessee",tn,140,0,ACSSF,8153,,,,,47,157,,,,20642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6642,6391,4941,1270,11,81,0,0,88,251,195,0,0,0,0,41,15,89073,2266,2134,132
47157020651,14000US47157020651,"Census Tract 206.51, Shelby County, Tennessee","Census Tract 206.51, Shelby County, Tennessee",tn,140,0,ACSSF,8154,,,,,47,157,,,,20651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7027,6788,4335,1860,9,184,0,0,400,239,225,0,0,0,0,14,0,62683,2439,2154,285
47157020652,14000US47157020652,"Census Tract 206.52, Shelby County, Tennessee","Census Tract 206.52, Shelby County, Tennessee",tn,140,0,ACSSF,8155,,,,,47,157,,,,20652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5337,5313,4950,213,0,120,0,0,30,24,24,0,0,0,0,0,0,65188,1934,1637,297
47157020700,14000US47157020700,"Census Tract 207, Shelby County, Tennessee","Census Tract 207, Shelby County, Tennessee",tn,140,0,ACSSF,8156,,,,,47,157,,,,20700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2315,2235,1963,218,0,0,0,0,54,80,80,0,0,0,0,0,0,66316,836,754,82
47157020810,14000US47157020810,"Census Tract 208.10, Shelby County, Tennessee","Census Tract 208.10, Shelby County, Tennessee",tn,140,0,ACSSF,8157,,,,,47,157,,,,20810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697,2654,2041,606,7,0,0,0,0,43,0,0,0,0,0,43,0,68950,950,843,107
47157020820,14000US47157020820,"Census Tract 208.20, Shelby County, Tennessee","Census Tract 208.20, Shelby County, Tennessee",tn,140,0,ACSSF,8158,,,,,47,157,,,,20820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4293,4187,3600,449,0,131,0,0,7,106,87,0,0,0,0,19,0,80179,1471,1340,131
47157020830,14000US47157020830,"Census Tract 208.30, Shelby County, Tennessee","Census Tract 208.30, Shelby County, Tennessee",tn,140,0,ACSSF,8159,,,,,47,157,,,,20830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9391,9142,7721,1036,0,271,0,29,85,249,20,14,0,0,0,197,18,82366,3446,2831,615
47157020900,14000US47157020900,"Census Tract 209, Shelby County, Tennessee","Census Tract 209, Shelby County, Tennessee",tn,140,0,ACSSF,8160,,,,,47,157,,,,20900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3222,3122,2677,427,4,7,0,0,7,100,9,12,5,0,0,74,0,92174,900,856,44
47157021010,14000US47157021010,"Census Tract 210.10, Shelby County, Tennessee","Census Tract 210.10, Shelby County, Tennessee",tn,140,0,ACSSF,8161,,,,,47,157,,,,21010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10835,10444,6530,3166,69,480,0,70,129,391,197,22,0,0,0,125,47,67648,4251,3382,869
47157021020,14000US47157021020,"Census Tract 210.20, Shelby County, Tennessee","Census Tract 210.20, Shelby County, Tennessee",tn,140,0,ACSSF,8162,,,,,47,157,,,,21020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5080,4845,3487,1088,0,101,0,0,169,235,161,0,0,0,0,74,0,94115,1675,1557,118
