AggTypeName,AggValueCode,AggValueName,PropertyTypeName,DateYyyyMm,PriceTier1,PriceTier3,PriceTier5,HPISA,HPINorm2000,yyyymm,hpi
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201204,25082,87793,256851,82853.3,58.682725444769765,201204,82853.3
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201205,25496,88769,258883,83455.5,59.442276347870482,201205,83455.5
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201206,26060,90551,262709,84390.6,60.643117744548093,201206,84390.6
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201207,26224,91380,264403,85130.9,61.196785904633458,201207,85130.9
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201208,26301,91934,265221,85739.6,61.520261870571304,201208,85739.6
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201209,26378,92044,264842,86288.8,61.570621583224828,201209,86288.8
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201210,26433,92196,264924,87067.7,61.617496637391376,201210,87067.7
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201211,26527,92066,265663,87948.7,61.640947545401637,201211,87948.7
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201212,26748,92617,267025,88725.4,61.981842618072683,201212,88725.4
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201301,27042,93421,268750,89875.2,62.510939931962682,201301,89875.2
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201302,27516,94732,271317,91102.1,63.456964442218599,201302,91102.1
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201303,28462,97093,276253,92789.9,65.138359018743003,201303,92789.9
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201304,29452,100019,282290,94625.8,67.150399004734368,201304,94625.8
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201305,30281,101928,286374,96086.2,68.595542288658066,201305,96086.2
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201306,31057,103958,291014,97353.4,70.054547591254988,201306,97353.4
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201307,31450,105052,294095,98519,70.925970924716466,201307,98519
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201308,31703,106023,296705,99649.6,71.590109514461034,201308,99649.6
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201309,31831,106444,297569,100679,71.854885240812621,201309,100679
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201310,31633,106235,296703,101350,71.589563327354554,201310,101350
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201311,31505,105638,296569,101986,71.264368257396555,201311,101986
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201312,31784,106372,299528,102947,71.825425033563846,201312,102947
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201401,31912,106515,300844,103532,72.055466641759736,201401,103532
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201402,32123,107023,302323,103911,72.513405697623341,201402,103911
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201403,32706,108102,304896,104404,73.408344173658122,201403,104404
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201404,33256,109572,307553,104865,74.459685726349761,201404,104865
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201405,33878,110889,309718,105509,75.413733463603663,201405,105509
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201406,34427,112312,312322,106024,76.361505822241099,201406,106024
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201407,34782,113271,314071,106852,77.02216663513515,201407,106852
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201408,34974,113612,314015,107489,77.283591574466953,201408,107489
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201409,34847,112922,310817,107685,76.788790089841569,201409,107685
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201410,34636,112060,307337,108014,76.129114633771394,201410,108014
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201411,34456,110881,305056,108208,75.40769241375753,201411,108208
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201412,34790,111025,305821,108754,75.676843734182711,201412,108754
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201501,35452,111865,308256,109942,76.478331980899753,201501,109942
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201502,36229,113364,311632,111077,77.648026896432938,201502,111077
