Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A14006_001,SE_A10060_001,SE_A10060_002,SE_A10060_003
26045021001,14000US26045021001,Census Tract 210.01,"Census Tract 210.01, Eaton County, Michigan",mi,140,0,ACSSF,4104,,,,,26,45,,,,21001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4818,4604,4512,57,8,11,0,0,16,214,190,0,0,0,0,18,6,69333,1598,1249,349
26045021002,14000US26045021002,Census Tract 210.02,"Census Tract 210.02, Eaton County, Michigan",mi,140,0,ACSSF,4105,,,,,26,45,,,,21002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4167,3989,3731,47,120,1,0,0,90,178,177,0,0,0,0,0,1,71604,1582,1462,120
26045021100,14000US26045021100,Census Tract 211,"Census Tract 211, Eaton County, Michigan",mi,140,0,ACSSF,4106,,,,,26,45,,,,21100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5637,5464,5148,174,41,45,0,10,46,173,85,0,0,0,0,37,51,62438,1771,1415,356
26045021201,14000US26045021201,Census Tract 212.01,"Census Tract 212.01, Eaton County, Michigan",mi,140,0,ACSSF,4107,,,,,26,45,,,,21201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2982,2870,2777,39,0,5,0,0,49,112,85,0,0,0,0,17,10,85804,1201,1174,27
26045021202,14000US26045021202,Census Tract 212.02,"Census Tract 212.02, Eaton County, Michigan",mi,140,0,ACSSF,4108,,,,,26,45,,,,21202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3644,3608,3438,48,20,61,0,0,41,36,36,0,0,0,0,0,0,81500,1358,1245,113
26045021301,14000US26045021301,Census Tract 213.01,"Census Tract 213.01, Eaton County, Michigan",mi,140,0,ACSSF,4109,,,,,26,45,,,,21301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2911,2767,2747,0,0,1,0,11,8,144,91,36,0,0,0,17,0,46935,1157,766,391
26045021302,14000US26045021302,Census Tract 213.02,"Census Tract 213.02, Eaton County, Michigan",mi,140,0,ACSSF,4110,,,,,26,45,,,,21302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3269,3154,3098,8,0,0,0,0,48,115,87,0,0,8,0,20,0,41688,1318,802,516
26045021401,14000US26045021401,Census Tract 214.01,"Census Tract 214.01, Eaton County, Michigan",mi,140,0,ACSSF,4111,,,,,26,45,,,,21401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3595,3237,2213,712,0,152,0,0,160,358,115,0,0,0,0,121,122,53125,1595,1024,571
26045021402,14000US26045021402,Census Tract 214.02,"Census Tract 214.02, Eaton County, Michigan",mi,140,0,ACSSF,4112,,,,,26,45,,,,21402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4634,4498,4226,103,21,53,0,3,92,136,121,0,0,0,0,15,0,77852,1875,1759,116
26047970100,14000US26047970100,Census Tract 9701,"Census Tract 9701, Emmet County, Michigan",mi,140,0,ACSSF,4113,,,,,26,47,,,,970100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2079,2054,1804,83,94,11,2,3,57,25,13,0,0,0,0,0,12,39891,960,787,173
